property name ,Room Price (in BDT or any other currency),review_count,Comment about room
Ambassador Hotel,,130,"good place to stop for a break.

I chose this hotel because  I wanted to stay where there was still a sense of the old Dubai left.  I stayed 2 nights at the..."
Residence Deira By Le Meridien,,67,shortly after they opened for business. Pleased to report that several years later they look just as good and provide the same quality of service as they did on…
Khalidia Hotel Apartments,,61,"were very satisfied, as well as the management and hotel staff. The hotel is good, with extensive restaurant which has always fresh food, fresh vegetables and..."
Star Metro Al Barsha,,83,"clean and the staff is pretty knowledgeable and accommodating. The food is pretty good, there is a mall across the street and a lot of restaurants within walking..."
Shangrila Hotel,,17,about your great service. I forgot to add how great and neat from Pritam house keeping always kept our room. My wife and I would like to especially thank him for...
Dubai Creek Golf & Yacht Club,,26,"huge, spacious with a private pool, own parking. A perfect spot to chill out and relax with a group or a family. Very neat and clean. Would love to visit again.
The..."
Reflections Hotel,,250,and Mr. Suraj are very gentle and kind persons.
The Apartments Dubai World Trade Centre,,284,"is super friendly and helpful, housekeeping always maintaining clean the place especially Sharef Shahal, assisting in everything we need, super professional and..."
Golden Tulip Al Barsha,,430,stephen Mr pramod Mr umar Mr stanley Would recommend everyone to visit and experience the hotel and thier service.
Versailles By Raviz Hotel,,258,extremely good. Rooms are very spacious with all required facilities. Value for money. Better than 3star hotel. The staffs are very curious. One will definitely like.
Golden Tulip Deira,,560,"size is bog in addition to good bed quality  , toilet ceiling was leaking with cold drops  , exactly situated on top of toilet sitting ,  room has a big balcony"
"Copthorne Lakeview Executive Apartments Dubai, Green Community",,66,"ensuring that our stay was comfortable, especially to cater for my daughter who is autistic; when resolving the various sound issues such as drilling and hammering from..."
St.George Hotel,,144,really great. They had excellent rooms and even better service personnel. Everyone was friendly and supportive. We would definitely love to stay here again some other...
Copthorne Airport Hotel Dubai,,"1,172",I have checked in at copthorn airport hotel Mr. Adel and the reception staff were amazing and very helpful he upgraded
Nojoum Hotel Apartments,,201,"location, nice facilities, comfortable stay. Rooms are big with nice kitchen. Bathrooms were clean. Swimming pool on the roof was nice. Overall, it was a good..."
Terra Solis Dubai,,6,"part of it at the luxurious Terra Solis, located in the midst of the stunning desert landscape. The hotel is truly a gem, blending the tranquility of the desert…"
Fortune Grand Hotel Apartments,,213,"Rooms were big.

Only thing I have been charged extra Rs.12600/= even after
i have paid the entire amount at the time of booking.
The room was in the center..."
The Soho Hotel,,16,"in the washroom, even the toothbrush with toothpaste. But when I asked housekeeping for an iron and ironing board,  they bring me one really old. It was almost..."
Dubai Marina - Marina Heights,,32,"service and location. Beds were comfortable, rooms were so clean. Staff were so helpful. I recommend you to visit thia hotel when you come Dubai. I know you definitely..."
Ramee Dream,,30,amazing and the place very beautiful and big  I had many drinks all amazing and the food also. It’s a good place for people who likes electric music. I will go again
Pearl Swiss Hotel,,10,"Warm reception,"
Grand Bellevue Hotel,,179,"it wouldve been beautiful in its early days, it still is but you can tell it needs an uplift. 
For the life of us, we could not get the airconditioning and washing..."
Auris Hotel Apartments Deira,,169,"could do with an upgrade really other than that like I said ok a budget when visiting already expensive Dubai, swimming pool was probably the best thing to here"
Canopy by Hilton Dubai Al Seef,,3,for evening strolls and easy to walk to the souks on this side and catch a little shoe for 1AED to the other side-  bargain. You can watch the boats all lit up in...
Al Waleed Palace Hotel Apartments - Al Barsha,,73,"during the Jetout Dubai holiday. It wasn't what I expected based on some of the  here. 
1. Our room on the 3rd floor was massive with 3 bathrooms and a very..."
City Stay Inn Hotel Apartment,,20,"expected something unusual. Lo and behold I was blown and overwhelmed when I saw the room, the sala, kitchen. Everything was perfect. I will go back and back to this..."
Rixos Premium Dubai,,2,
Dubai Concorde Residence Hotel,,16,food when we had a long wait between flights. The hotel room was large with two large single beds. Buffet style food was available. We appreciate Emirates making this...
Naif view Hotel By Gemstones,,33,"to banayas tram station and lots of cafes to grab food .
Thankyou to asad - room cleaning service, works very hard to accommodate and maintain high standards.
Room..."
City Stay Inn Hotel Apartment,,15,"helpful staffs, restaurants n shops nearby 
Great choice for you who transit stays.
However they need to fix the elevator, so it is exclusively used for guest, not to..."
"The Ritz-Carlton, Dubai",,6,"building with great garden. Waking up with the singing birds makes us so happy! From the front-desk till the housekeeping, they are all friendly and helpful. The..."
Dubai Park Hotel,,16,facilities one needs...I stayed with my husband four nights.Very clean and well equipped and well served.Shuttle bus service to malls and beach are always on time.We...
Crowne Plaza Dubai Trade Centre,,22,
Pearl Coast Premier Hotel Apartments,,43,was great for a quick family trip. Clean and well maintained and convenient location. It has free parking but the coffee and tea were quite old and tasted funny
Dubai Marina - La Riviera,,9,"enjoyed and recommend for group of friends or date nights 

Due to humid hot weather brunch was indoors which was Mediterranean vibe dining area with nice lay out..."
Zariana Hotel,,8,in Deira this is your choice. It is in the heart of a busy anf noisy area but once you are in it is quite and comfortable. My room is small but functional…
Abu Dhabi Gulf Hotel,,9,"are worldwide for its superb décor, including a sky view bar with amazing view and underwater restaurant.It is an interesting melting pot of different people and..."
AL Khoory Hotel Apartments-AL Barsha,,5,"hotel apartments more than 20 Days.

They  have been practicing safety measures during room cleaning. I always like to commend their staff for always putting smile on..."
Intercity Hotel Dubai,,7,"ambience, the hotel is located in a quiet area. I forgot his name but the guy at the reception was superb, even borrowed us his lighter and goes well beyond to…"
Pullman Dubai Deira City Centre,,2,"stay . Apart from the ideal and central location to Airport / Deira Mall plus the entire staff is very friendly along with professional attendance. 
The Executive..."
Swissotel Living Al Ghurair,,3,Housekeeping everyday by Ann is nice. She remembers my taste and keeping it that way afterwards. The staffs here are very friendly and I feel at home very much. I am...
"Radisson Blu Hotel Trade Centre District, Dubai",,22,"Dubai Mall , the veiw was on the artificial River of Dubai , amazing .. the staff is friendly and the price is reasonable, secused and they have a parking"
The Resort Jebel Ali Beach Dubai,,3,"the Jebel Ali Resort, Dubai was just as good as the preceding six.  With a private beach of almost 1 kilometre, a golf course, 4 or 5 tennis courts, great…"
Orchid Vue Hotel,,165,"very helpful, the only thing I wasn’t a fan of was the pool area, as it’s all covered over so very little sunlight but other than that, i didn’t eat here so can’t co..."
Grand Square Hotel,,12,"Within walking distance to the Baniyas, Corniche area in Deira.The staff were very courteous, and responsive. The rates were great too! I suggest you provide..."
City Avenue Hotel,,47,"& cleaners friendly. Lady on reception not particularly friendly or helpful. Location is not good, very close to airport but this also means that planes fly over..."
OYO 165 San Marco Hotel,,117,"Indian candle-scented area.  Around there are many small shops with various goods, including groceries.  There are small eateries with Indo-Pakistani dishes.  A…"
Golden Tulip Suites Dubai,,56,time in the hotel. Room is big clean and comfortable. Everything is good and we will come back agin by next month. Please give good offer. Shukran for service.
Florida Al Souq Hotel,,29,don’t have service board in the room such as do not disturb or housekeeping service board. They might have a paper to put on a door handle but I didn’t see it from...
Five Palm Jumeirah Dubai,,9,"wonderful stay with you at the hotel. The service has been top-notch, from facts to waitresses to those who clean the rooms. will always book with you every time I fly to..."
Dubai Marina - Ary Marina View,,16,very reasonable enjoyed views and experience of the marina easy to book boat rides and hire bikes too flat and accessible and relaxed atmosphere with families and...
Grand Square Stay Hotel Apartments," 5,164",2,verry good we are enjoy too much.house keeping  Sajeena she is very friendly .always  smile ..very helpful..and reception boy also very helpful ...thankyou so much !
Regent Beach Resort,,178,"The rooms were large yet dated. The hotel has a small pool, buffet breakfast, 'sports bar'. All of which are fairly low quality but the real selling point is that the..."
Grand Midwest Tower Hotel & Hotel Apartments,,465,great. Had everything from refrigerator to hair dryer. Room service and amenities also satisfactory. About 5 min walk to metro station. Breakfast was a joke. Never…
